Species,Month,Year,Site,Location,Age,Number,Length,Diameter,Taper,TI,Mass,d13C,d15N,CN,Ropey,Segmented,Flat,Scrape
Coyote,January,2012,YOLA,Edge,5,2,9.50,25.7,41.9,1.63,15.89,-26.85,6.94,8.5,0,0,0,0
Coyote,January,2012,YOLA,Edge,3,2,14.00,25.4,37.1,1.46,17.61,-29.62,9.87,11.3,0,0,0,0
Bobcat,January,2012,YOLA,Middle,3,2,9.00,18.8,16.5,0.88,8.4,-28.73,8.52,8.1,1,1,0,1
Coyote,January,2012,YOLA,Middle,5,2,8.50,18.1,24.7,1.36,7.4,-20.07,5.79,11.5,1,0,0,0
Coyote,January,2012,YOLA,Edge,5,4,8.00,20.7,20.1,0.97,25.45,-23.24,7.01,10.6,0,1,0,0
Coyote,January,2012,YOLA,Edge,5,3,9.00,21.2,28.5,1.34,14.14,-29,8.28,9,1,0,0,0
Bobcat,January,2012,ANNU,OffEdge,1,5,6.00,15.7,8.2,0.52,14.82,-28.06,4.2,5.4,1,1,0,1
Bobcat,January,2012,ANNU,OffEdge,3,7,5.50,21.9,19.3,0.88,26.41,-27.6,3.89,5.6,0,1,0,0
Bobcat,January,2012,ANNU,OffEdge,5,2,11.00,17.5,29.1,1.66,16.24,-28.64,7.34,5.8,0,1,0,0
Bobcat,January,2012,ANNU,Middle,5,1,20.50,18,21.4,1.19,11.22,-27.35,6.06,7.7,1,1,0,0
GrayFox,January,2012,ANNU,Middle,3,1,8.00,NA,NA,NA,2.51,-25.79,7.83,20.5,0,0,1,0
GrayFox,January,2012,ANNU,Middle,1,1,8.00,12.9,14.7,1.14,8.55,-25.71,8.47,18.1,1,0,0,0
GrayFox,January,2012,ANNU,Middle,3,1,12.00,NA,NA,NA,18.14,-25.18,10.1,15.5,0,0,1,0
GrayFox,January,2012,ANNU,Middle,3,1,11.50,NA,NA,NA,8.17,-25.73,9.72,18.9,0,0,1,0
GrayFox,January,2012,ANNU,Middle,1,1,8.50,NA,NA,NA,3.43,-26.17,8.07,19.9,0,0,1,0
GrayFox,January,2012,ANNU,Middle,5,1,10.50,12.1,11.9,0.98,3.1,-26.88,6.7,7,1,1,0,0
Bobcat,February,2013,ANNU,Edge,5,7,5.00,13,37.6,2.89,9.75,-27.92,7.57,5.8,1,1,0,0
Coyote,February,2013,ANNU,Edge,5,6,6.50,24,23.1,0.96,33,-27.66,12.88,7.7,1,1,0,0
Bobcat,February,2013,ANNU,Edge,5,4,10.50,15.5,38.2,2.46,12.76,-25.77,3.88,5.7,1,0,0,0
Bobcat,February,2013,ANNU,OffEdge,3,3,11.00,16.5,25.8,1.56,18.75,-28.91,6.36,6,1,1,0,0
Bobcat,February,2013,ANNU,OffEdge,5,4,11.50,17.5,18.9,1.08,14.08,-27.3,6.61,6.9,1,1,0,0
Bobcat,February,2013,ANNU,OffEdge,5,5,7.50,18,32.1,1.78,21.69,-27.2,9.07,5.8,1,1,0,0
Bobcat,April,2012,YOLA,Middle,4,4,5.50,21.7,18.9,0.87,19.15,-29.12,8.72,6.05,0,1,0,0
Bobcat,April,2012,YOLA,Middle,3,1,9.00,21.6,11.4,0.53,9.74,-29.85,10.32,7.48,0,1,0,0
Coyote,April,2012,YOLA,Middle,5,2,17.00,22.1,5,0.23,24.69,-27.82,7.95,7.3,0,1,0,0
